,num_docks_available,num_bikes_available,legacy_id,is_returning,station_id,is_installed,is_renting,num_ebikes_available,eightd_has_available_keys,num_docks_disabled,last_reported,num_bikes_disabled,last_update,num_scooters_unavailable,num_scooters_available
120,9,15,1831178352265562334,1,1831178352265562334,1,1,3,False,0,1691630432,3,2023-08-10 01:15:11.129474,0.0,0.0
121,15,10,3890,1,ad57266c-34da-43da-8b48-2ba856002fbf,1,1,2,False,2,1691630432,3,2023-08-10 01:15:11.129474,0.0,0.0
122,0,19,4175,1,4e747443-d481-4aea-a6d1-cf20204af4ba,1,1,3,False,0,1691630435,1,2023-08-10 01:15:11.129474,0.0,0.0
123,42,0,440,1,66dc17df-0aca-11e7-82f6-3863bb44ef7c,1,1,0,False,0,1691630437,0,2023-08-10 01:15:11.129474,,
124,40,2,4735,1,40043e8a-6ef6-428d-b585-a7c23cdb06d4,1,1,1,False,1,1691630437,1,2023-08-10 01:15:11.129474,0.0,0.0
125,22,2,4059,1,d73e26de-8534-4b46-a321-3cae295ef9b2,1,1,1,False,0,1691630437,7,2023-08-10 01:15:11.129474,0.0,0.0
126,26,21,260,1,66db447a-0aca-11e7-82f6-3863bb44ef7c,1,1,2,False,0,1691630437,2,2023-08-10 01:15:11.129474,0.0,0.0
127,7,10,1828965347681089818,1,1828965347681089818,1,1,1,False,0,1691630438,3,2023-08-10 01:15:11.129474,0.0,0.0
128,3,16,3172,1,66dd515d-0aca-11e7-82f6-3863bb44ef7c,1,1,5,False,0,1691630438,6,2023-08-10 01:15:11.129474,0.0,0.0
129,17,6,3507,1,66880044-5411-4143-af39-eaa0a0fd0528,1,1,2,False,4,1691630438,9,2023-08-10 01:15:11.129474,0.0,0.0
130,3,29,4645,1,b9720921-8170-43ea-a5ae-b61b9161eb49,1,1,10,False,0,1691630435,5,2023-08-10 01:15:11.129474,0.0,0.0
131,9,19,1826348248869574940,1,1826348248869574940,1,1,2,False,0,1691630435,3,2023-08-10 01:15:11.129474,0.0,0.0
132,13,11,3537,1,c3189056-8eda-4278-891f-e8e15c2d759a,1,1,0,False,0,1691630437,5,2023-08-10 01:15:11.129474,0.0,0.0
133,10,11,3078,1,66dced76-0aca-11e7-82f6-3863bb44ef7c,1,1,4,False,0,1691630434,3,2023-08-10 01:15:11.129474,0.0,0.0
134,69,40,422,1,66dc0dab-0aca-11e7-82f6-3863bb44ef7c,1,1,22,False,2,1691630438,5,2023-08-10 01:15:11.129474,0.0,0.0
135,11,11,4378,1,180b83a0-329c-4069-87be-df862cb1baed,1,1,0,False,0,1691630433,1,2023-08-10 01:15:11.129474,0.0,0.0
136,4,19,3424,1,66de677e-0aca-11e7-82f6-3863bb44ef7c,1,1,6,False,0,1691630436,2,2023-08-10 01:15:11.129474,0.0,0.0
137,9,23,398,1,66dbef15-0aca-11e7-82f6-3863bb44ef7c,1,1,0,False,0,1691630441,4,2023-08-10 01:15:11.129474,0.0,0.0
138,22,1,3542,1,1b00fb53-da32-4b14-9a9a-84a391c8951c,1,1,1,False,1,1691630442,4,2023-08-10 01:15:11.129474,0.0,0.0
