,num_docks_disabled,is_returning,is_renting,last_reported,num_docks_available,num_bikes_disabled,station_id,is_installed,station_status,eightd_has_available_keys,num_ebikes_available,num_bikes_available,legacy_id,last_update,eightd_active_station_services,valet
120,0,86400,368,out_of_service,0,0,0,False,0,368,0,0,0,2022-12-20 02:15:58.023140,,
121,1,1671501783,369,active,1,3,68,False,0,369,1,5,3,2022-12-20 02:15:58.023140,,
122,1,1671500150,372,active,1,16,8,False,0,372,1,4,2,2022-12-20 02:15:58.023140,,
123,1,1671501514,373,active,1,11,3,False,0,373,1,2,3,2022-12-20 02:15:58.023140,,
124,1,1671502424,376,active,1,14,27,False,0,376,1,1,0,2022-12-20 02:15:58.023140,,
125,1,1671501711,377,active,1,3,43,False,0,377,1,1,3,2022-12-20 02:15:58.023140,,
126,1,1671502998,379,active,1,2,51,False,0,379,1,23,2,2022-12-20 02:15:58.023140,,
127,1,1671502710,380,active,1,2,24,False,0,380,1,9,0,2022-12-20 02:15:58.023140,,
128,0,86400,383,out_of_service,0,0,0,False,0,383,0,0,0,2022-12-20 02:15:58.023140,,
129,1,1671502129,385,active,1,11,15,False,0,385,1,9,3,2022-12-20 02:15:58.023140,,
130,1,1671503223,386,active,1,22,59,False,0,386,1,0,1,2022-12-20 02:15:58.023140,,
131,1,1671501922,387,active,1,7,29,False,0,387,1,2,3,2022-12-20 02:15:58.023140,,
132,1,1671501345,388,active,1,17,33,False,0,388,1,5,0,2022-12-20 02:15:58.023140,,
133,1,1671503004,390,active,1,11,37,False,0,390,1,3,0,2022-12-20 02:15:58.023140,,
134,1,1671502366,391,active,1,34,9,False,0,391,1,3,0,2022-12-20 02:15:58.023140,,
135,1,1671503082,392,active,1,12,21,False,0,392,1,3,2,2022-12-20 02:15:58.023140,,
136,1,1671503140,393,active,1,32,21,False,0,393,1,2,2,2022-12-20 02:15:58.023140,,
137,1,1671502778,394,active,1,12,21,False,0,394,1,10,1,2022-12-20 02:15:58.023140,,
138,1,1671502773,396,active,1,17,4,False,0,396,1,1,2,2022-12-20 02:15:58.023140,,
139,1,1671503213,397,active,1,68,5,False,0,397,1,2,2,2022-12-20 02:15:58.023140,,
140,1,1671502567,398,active,1,2,32,False,0,398,1,2,3,2022-12-20 02:15:58.023140,,
141,1,1671503175,399,active,1,34,5,False,0,399,1,2,0,2022-12-20 02:15:58.023140,,
142,1,1671503005,400,active,1,14,1,False,0,400,1,0,0,2022-12-20 02:15:58.023140,,
143,1,1671502600,401,active,1,12,23,False,0,401,1,3,7,2022-12-20 02:15:58.023140,,
144,0,86400,403,out_of_service,0,0,0,False,0,403,0,0,0,2022-12-20 02:15:58.023140,,
145,1,1671500145,405,active,1,3,46,False,0,405,1,6,2,2022-12-20 02:15:58.023140,,
146,1,1671502824,406,active,1,13,6,False,0,406,1,3,0,2022-12-20 02:15:58.023140,,
147,1,1671502083,408,active,1,0,41,False,0,408,1,8,3,2022-12-20 02:15:58.023140,,
148,1,1671502748,410,active,1,59,16,False,0,410,1,3,4,2022-12-20 02:15:58.023140,,
149,1,1671502744,411,active,1,24,3,False,0,411,1,1,3,2022-12-20 02:15:58.023140,,
150,1,1671500896,412,active,1,6,22,False,0,412,1,7,0,2022-12-20 02:15:58.023140,,
151,0,86400,415,out_of_service,0,0,0,False,0,415,0,0,0,2022-12-20 02:15:58.023140,,
152,1,1671502808,416,active,1,22,4,False,0,416,1,1,1,2022-12-20 02:15:58.023140,,
153,1,1671496886,417,active,1,2,23,False,0,417,1,4,0,2022-12-20 02:15:58.023140,,
154,1,1671490564,418,active,1,9,28,False,0,418,1,0,0,2022-12-20 02:15:58.023140,,
155,1,1671502313,419,active,1,9,14,False,0,419,1,1,0,2022-12-20 02:15:58.023140,,
156,1,1671502148,420,active,1,39,7,False,0,420,1,2,2,2022-12-20 02:15:58.023140,,
157,1,1671503063,421,active,1,1,2,False,3,421,1,1,13,2022-12-20 02:15:58.023140,,
158,1,1671502522,422,active,1,93,17,False,0,422,1,15,3,2022-12-20 02:15:58.023140,,
159,1,1671502707,423,active,1,35,8,False,0,423,1,2,0,2022-12-20 02:15:58.023140,,
160,1,1671503205,426,active,1,6,71,False,0,426,1,9,3,2022-12-20 02:15:58.023140,,
161,1,1671501465,427,active,1,3,65,False,0,427,1,2,1,2022-12-20 02:15:58.023140,,
162,1,1671502712,428,active,1,19,39,False,0,428,1,8,0,2022-12-20 02:15:58.023140,,
163,1,1671502386,432,active,1,28,15,False,0,432,1,4,1,2022-12-20 02:15:58.023140,,
164,1,1671502684,434,active,1,4,52,False,0,434,1,19,3,2022-12-20 02:15:58.023140,,
165,1,1671502835,435,active,1,29,43,False,0,435,1,1,2,2022-12-20 02:15:58.023140,,
166,1,1671499197,436,active,1,20,4,False,0,436,1,3,2,2022-12-20 02:15:58.023140,,
167,1,1671502569,437,active,1,7,12,False,0,437,1,1,4,2022-12-20 02:15:58.023140,,
168,1,1671503151,438,active,1,2,65,False,0,438,1,4,0,2022-12-20 02:15:58.023140,,
