,num_docks_available,is_renting,is_returning,legacy_id,num_ebikes_available,station_id,num_docks_disabled,num_bikes_disabled,last_reported,eightd_has_available_keys,is_installed,num_bikes_available,last_update,num_scooters_unavailable,num_scooters_available
1113,22,1,1,3690,0,18fcd2c1-dc8b-4a52-9f18-e9b9003bbea5,0,5,1692666552,False,1,28,2023-08-22 01:00:22.295629,0.0,0.0
1114,15,1,1,5049,2,55fda28d-56a8-4db2-b42a-072714f18471,0,0,1692666552,False,1,4,2023-08-22 01:00:22.295629,0.0,0.0
1115,3,1,1,3607,1,d7904cd0-4b1b-47d0-8103-937bcf5ff845,0,2,1692666552,False,1,13,2023-08-22 01:00:22.295629,0.0,0.0
1116,13,1,1,3897,2,be8e6f1c-e8b5-40bd-896d-423052ba3bbc,0,1,1692666553,False,1,3,2023-08-22 01:00:22.295629,0.0,0.0
1117,12,1,1,308,0,66db7152-0aca-11e7-82f6-3863bb44ef7c,0,3,1692666553,False,1,33,2023-08-22 01:00:22.295629,0.0,0.0
1118,75,1,1,267,0,66db473c-0aca-11e7-82f6-3863bb44ef7c,1,1,1692666555,False,1,0,2023-08-22 01:00:22.295629,0.0,0.0
1119,12,1,1,4768,2,18846fd4-877c-4971-9b6f-1bd8fbc10346,0,0,1692666555,False,1,8,2023-08-22 01:00:22.295629,0.0,0.0
1120,8,1,1,509,3,66dc7a7d-0aca-11e7-82f6-3863bb44ef7c,2,5,1692666556,False,1,45,2023-08-22 01:00:22.295629,0.0,0.0
1121,24,1,1,4125,4,4b67c6e0-d603-4fbc-afbe-0b8952f4f7af,0,2,1692666557,False,1,11,2023-08-22 01:00:22.295629,0.0,0.0
1122,26,1,1,4044,0,8d097a6d-f17c-4195-9dd4-42527b371c71,0,11,1692666557,False,1,29,2023-08-22 01:00:22.295629,0.0,0.0
1123,37,1,1,4235,1,88e64257-298c-4b8d-8886-77b9b66dcec1,0,6,1692666557,False,1,13,2023-08-22 01:00:22.295629,0.0,0.0
1124,2,1,1,4366,0,bbb48e80-7d2f-4b3c-bb8c-591bc931945a,0,0,1692666558,False,1,18,2023-08-22 01:00:22.295629,0.0,0.0
1125,23,1,1,3156,3,66dd491c-0aca-11e7-82f6-3863bb44ef7c,0,9,1692666558,False,1,5,2023-08-22 01:00:22.295629,0.0,0.0
1126,20,1,1,4411,0,328d778a-7e71-4240-acae-b84f0fdaa5c5,0,1,1692666558,False,1,6,2023-08-22 01:00:22.295629,0.0,0.0
1127,5,1,1,3811,3,285ad3c2-3ffe-45bb-8765-9c20a69641a6,0,0,1692666558,False,1,14,2023-08-22 01:00:22.295629,0.0,0.0
1128,17,1,1,513,5,66dc7cc3-0aca-11e7-82f6-3863bb44ef7c,1,6,1692666553,False,1,18,2023-08-22 01:00:22.295629,0.0,0.0
1129,8,1,1,161,0,66db3273-0aca-11e7-82f6-3863bb44ef7c,0,6,1692666553,False,1,37,2023-08-22 01:00:22.295629,0.0,0.0
1130,20,1,1,353,0,66dbc60f-0aca-11e7-82f6-3863bb44ef7c,0,1,1692666553,False,1,5,2023-08-22 01:00:22.295629,0.0,0.0
1131,7,1,1,3853,0,cac843c2-8b21-47bb-a3b9-712f95d7f7aa,0,0,1692666554,False,1,13,2023-08-22 01:00:22.295629,0.0,0.0
1132,4,1,1,4138,1,c46a2889-258b-4fc5-a452-1d4e7dfe683a,0,1,1692666554,False,1,14,2023-08-22 01:00:22.295629,0.0,0.0
1133,0,1,1,4444,7,23bc4d9b-1ec2-45fb-9228-e41517346b24,0,1,1692666554,False,1,19,2023-08-22 01:00:22.295629,0.0,0.0
1134,11,1,1,3592,3,9d95a4a9-bcfe-4189-bb7d-abd9992ecbaf,0,0,1692666554,False,1,7,2023-08-22 01:00:22.295629,0.0,0.0
1135,14,1,1,4236,6,1f872052-38c4-4701-96c4-c363de51c2b5,0,12,1692666555,False,1,30,2023-08-22 01:00:22.295629,0.0,0.0
1136,52,1,1,485,1,66dc4b4c-0aca-11e7-82f6-3863bb44ef7c,0,2,1692666554,False,1,3,2023-08-22 01:00:22.295629,0.0,0.0
1137,23,1,1,316,0,66db7637-0aca-11e7-82f6-3863bb44ef7c,1,4,1692666555,False,1,15,2023-08-22 01:00:22.295629,0.0,0.0
1138,20,1,1,4309,1,45865207-8700-4ef2-99ed-b08889ef0250,0,1,1692666553,False,1,2,2023-08-22 01:00:22.295629,0.0,0.0
1139,9,1,1,4848,1,d34f2271-10ee-40c3-a93a-09df58860512,1,1,1692666553,False,1,6,2023-08-22 01:00:22.295629,0.0,0.0
1140,8,1,1,1828966104320053340,1,1828966104320053340,0,1,1692666556,False,1,10,2023-08-22 01:00:22.295629,0.0,0.0
1141,2,1,1,261,0,66db44e5-0aca-11e7-82f6-3863bb44ef7c,0,4,1692666557,False,1,31,2023-08-22 01:00:22.295629,0.0,0.0
1142,16,1,1,4384,2,83d1ff16-ba56-4eae-aa6a-b37b6439db82,0,3,1692666562,False,1,11,2023-08-22 01:00:22.295629,0.0,0.0
1143,48,1,1,248,0,66db402c-0aca-11e7-82f6-3863bb44ef7c,1,3,1692666562,False,1,33,2023-08-22 01:00:22.295629,0.0,0.0
1144,7,1,1,5012,1,44a80c48-c1a9-4ff1-92eb-6bf8be492f5e,0,2,1692666562,False,1,14,2023-08-22 01:00:22.295629,0.0,0.0
1145,9,1,1,4278,3,3e9e50cc-f336-439f-bd0b-dec5499c038d,1,6,1692666562,False,1,31,2023-08-22 01:00:22.295629,0.0,0.0
1146,4,1,1,3382,3,66de2b97-0aca-11e7-82f6-3863bb44ef7c,1,5,1692666562,False,1,30,2023-08-22 01:00:22.295629,0.0,0.0
1147,1,1,1,143,0,66db2d2b-0aca-11e7-82f6-3863bb44ef7c,0,2,1692666563,False,1,44,2023-08-22 01:00:22.295629,0.0,0.0
1148,18,1,1,4129,0,203d7b9a-8666-4af1-81c7-f9fc36aa0952,0,1,1692666563,False,1,0,2023-08-22 01:00:22.295629,0.0,0.0
1149,22,1,1,3749,0,93c28953-7e65-436e-9c5a-9d7ca0e3729f,0,1,1692666563,False,1,0,2023-08-22 01:00:22.295629,0.0,0.0
1150,14,1,1,3872,2,1318e05a-2506-43c6-b49d-4c1f7f69a267,0,0,1692666559,False,1,4,2023-08-22 01:00:22.295629,0.0,0.0
1151,57,1,1,3457,5,66dea6e1-0aca-11e7-82f6-3863bb44ef7c,0,3,1692666559,False,1,5,2023-08-22 01:00:22.295629,0.0,0.0
1152,0,1,1,3917,2,582cd775-0178-47f5-b707-6d5869f077ba,1,3,1692666560,False,1,28,2023-08-22 01:00:22.295629,0.0,0.0
1153,11,1,1,3497,0,1aa5c287-0f0d-4697-ba4b-4f2daa6b2adf,1,0,1692666559,False,1,11,2023-08-22 01:00:22.295629,0.0,0.0
1154,29,1,1,3708,2,eafa19ed-88c2-4efc-bd73-3961f85b6063,1,4,1692666560,False,1,9,2023-08-22 01:00:22.295629,0.0,0.0
1155,22,1,1,396,0,66dbeded-0aca-11e7-82f6-3863bb44ef7c,0,2,1692666560,False,1,1,2023-08-22 01:00:22.295629,0.0,0.0
