,is_returning,legacy_id,num_bikes_disabled,num_docks_available,num_docks_disabled,station_status,is_renting,num_ebikes_available,is_installed,last_reported,station_id,eightd_has_available_keys,num_bikes_available,last_update,num_scooters_unavailable,num_scooters_available
53,1,4147,0,11,0,active,1,1,1,1691025498,6476c5fd-611e-436c-9736-e0f43bb7774e,False,8,2023-08-03 01:15:09.494449,0.0,0.0
54,1,3599,0,7,0,active,1,1,1,1691025507,56b3ca32-104a-4920-a879-a97a820858c4,False,19,2023-08-03 01:15:09.494449,0.0,0.0
55,1,4166,3,3,0,active,1,0,1,1691025507,6e5a8cab-cf1a-4584-8133-01835b56ad71,False,20,2023-08-03 01:15:09.494449,0.0,0.0
56,1,4422,0,2,0,active,1,0,1,1691025504,16e70b05-5b73-4930-9dcf-f79e5ce9eaf5,False,20,2023-08-03 01:15:09.494449,0.0,0.0
57,1,3424,2,0,0,active,1,3,1,1691025504,66de677e-0aca-11e7-82f6-3863bb44ef7c,False,24,2023-08-03 01:15:09.494449,0.0,0.0
58,1,3131,1,34,0,active,1,0,1,1691025504,66dd3d7f-0aca-11e7-82f6-3863bb44ef7c,False,1,2023-08-03 01:15:09.494449,0.0,0.0
59,1,343,3,1,0,active,1,1,1,1691025499,66dba303-0aca-11e7-82f6-3863bb44ef7c,False,19,2023-08-03 01:15:09.494449,0.0,0.0
60,1,520,1,58,0,active,1,0,1,1691025500,66dc80b4-0aca-11e7-82f6-3863bb44ef7c,False,0,2023-08-03 01:15:09.494449,0.0,0.0
61,1,3566,1,0,0,active,1,0,1,1691025505,d265dbc7-ef55-4f5b-8a2b-f2015dc71fb8,False,24,2023-08-03 01:15:09.494449,0.0,0.0
62,1,3074,2,8,0,active,1,2,1,1691025505,66dce8db-0aca-11e7-82f6-3863bb44ef7c,False,31,2023-08-03 01:15:09.494449,0.0,0.0
63,1,4416,0,10,0,active,1,0,1,1691025505,5645b05e-85be-460d-8506-cacd20bff233,False,19,2023-08-03 01:15:09.494449,0.0,0.0
64,1,4908,0,11,0,active,1,1,1,1691025505,4efda436-cd19-4ec3-acc7-1a622f723264,False,8,2023-08-03 01:15:09.494449,0.0,0.0
65,1,4067,3,16,0,active,1,0,1,1691025501,ceb179f3-89c3-4c3e-8a0a-3415406a9463,False,4,2023-08-03 01:15:09.494449,0.0,0.0
66,1,1814901062206225038,0,4,0,active,1,1,1,1691025502,1814901062206225038,False,17,2023-08-03 01:15:09.494449,0.0,0.0
67,1,388,3,47,0,active,1,1,1,1691025502,66dbe96d-0aca-11e7-82f6-3863bb44ef7c,False,1,2023-08-03 01:15:09.494449,0.0,0.0
68,1,4860,0,13,0,active,1,2,1,1691025502,ca5cc034-a95d-446e-8314-6691589886b1,False,5,2023-08-03 01:15:09.494449,0.0,0.0
69,1,4287,1,9,0,active,1,1,1,1691025503,f62526d4-9c6a-4c76-be76-c64b5be669d2,False,11,2023-08-03 01:15:09.494449,0.0,0.0
70,1,4361,2,3,0,active,1,2,1,1691025500,e85c3165-ad0a-44a3-9683-d8cf7575f465,False,24,2023-08-03 01:15:09.494449,0.0,0.0
71,1,1786700154621508184,3,23,0,active,1,0,1,1691025500,1786700154621508184,False,3,2023-08-03 01:15:09.494449,0.0,0.0
72,1,3866,0,24,0,active,1,3,1,1691025501,78aabb95-6195-4aa7-ab0d-5748eeb26bd1,False,8,2023-08-03 01:15:09.494449,0.0,0.0
73,1,4441,3,4,0,active,1,3,1,1691025506,2546c9b9-5b1a-4e9f-a9cc-f8b986b79748,False,16,2023-08-03 01:15:09.494449,0.0,0.0
74,1,3820,2,7,0,active,1,2,1,1691025510,493e046c-5d62-4772-90c4-b6a9f4afcd39,False,10,2023-08-03 01:15:09.494449,0.0,0.0
75,1,4929,1,17,0,active,1,1,1,1691025510,d2b23c87-b7c3-48c2-a634-db4b76ecbcf7,False,2,2023-08-03 01:15:09.494449,0.0,0.0
76,1,4779,0,24,0,active,1,1,1,1691025511,ed279ef2-52ee-4ff2-9a52-edd8137ea034,False,3,2023-08-03 01:15:09.494449,0.0,0.0
77,1,4508,2,6,0,active,1,0,1,1691025511,62f8f806-bd04-4282-9c5d-ad4293644e3c,False,13,2023-08-03 01:15:09.494449,0.0,0.0
78,1,4825,1,0,0,active,1,1,1,1691025512,5145ad1c-241f-4448-a742-739bd5c518c2,False,18,2023-08-03 01:15:09.494449,0.0,0.0
