,num_bikes_available,station_id,legacy_id,station_status,eightd_has_available_keys,num_docks_disabled,num_docks_available,num_ebikes_available,last_reported,num_bikes_disabled,is_installed,is_renting,is_returning,last_update,valet,eightd_active_station_services
130,68,386,386,active,False,0,12,6,1671324217,2,1,1,1,2022-12-18 01:15:16.607891,,
131,18,387,387,active,False,0,17,2,1671324410,4,1,1,1,2022-12-18 01:15:16.607891,,
132,37,388,388,active,False,0,11,0,1671323176,2,1,1,1,2022-12-18 01:15:16.607891,,
133,34,390,390,active,False,0,11,4,1671323036,2,1,1,1,2022-12-18 01:15:16.607891,,
134,5,391,391,active,False,0,36,4,1671325183,1,1,1,1,2022-12-18 01:15:16.607891,,
135,25,392,392,active,False,0,10,1,1671326090,0,1,1,1,2022-12-18 01:15:16.607891,,
136,2,393,393,active,False,0,51,2,1671326072,2,1,1,1,2022-12-18 01:15:16.607891,,
137,9,394,394,active,False,0,24,0,1671325620,1,1,1,1,2022-12-18 01:15:16.607891,,
138,13,396,396,active,False,1,10,9,1671324918,1,1,1,1,2022-12-18 01:15:16.607891,,
139,9,397,397,active,False,0,63,5,1671325195,3,1,1,1,2022-12-18 01:15:16.607891,,
140,25,398,398,active,False,0,8,0,1671326160,3,1,1,1,2022-12-18 01:15:16.607891,,
141,0,399,399,active,False,0,39,0,1671324467,0,1,1,1,2022-12-18 01:15:16.607891,,
142,8,400,400,active,False,0,7,0,1671321872,0,1,1,1,2022-12-18 01:15:16.607891,,
143,38,401,401,active,False,0,0,10,1671325636,3,1,1,1,2022-12-18 01:15:16.607891,,
144,0,403,403,out_of_service,False,0,0,0,86400,0,0,0,0,2022-12-18 01:15:16.607891,,
145,44,405,405,active,False,0,5,5,1671325974,2,1,0,0,2022-12-18 01:15:16.607891,,
146,2,406,406,active,False,0,17,0,1671325393,1,1,1,1,2022-12-18 01:15:16.607891,,
147,35,408,408,active,False,0,8,2,1671323575,2,1,1,1,2022-12-18 01:15:16.607891,,
148,29,410,410,active,False,0,46,1,1671325756,2,1,1,1,2022-12-18 01:15:16.607891,,
149,8,411,411,active,False,0,22,0,1671325838,0,1,1,1,2022-12-18 01:15:16.607891,,
150,18,412,412,active,False,0,8,2,1671326088,3,1,1,1,2022-12-18 01:15:16.607891,,
151,0,415,415,out_of_service,False,0,0,0,86400,0,0,0,0,2022-12-18 01:15:16.607891,,
152,1,416,416,active,False,0,25,0,1671323532,1,1,1,1,2022-12-18 01:15:16.607891,,
153,23,417,417,active,False,0,2,1,1671319832,0,1,1,1,2022-12-18 01:15:16.607891,,
154,34,418,418,active,False,0,3,2,1671323439,0,1,1,1,2022-12-18 01:15:16.607891,,
155,19,419,419,active,False,0,4,4,1671325424,0,1,1,1,2022-12-18 01:15:16.607891,,
