,legacy_id,station_id,num_bikes_disabled,eightd_has_available_keys,last_reported,is_installed,is_returning,is_renting,num_ebikes_available,num_bikes_available,num_docks_disabled,num_docks_available,station_status,last_update
231,525,525,1,False,1670893694,1,1,1,1,40,0,18,active,2022-12-13 01:15:17.723177
232,526,526,7,False,1670894464,1,1,1,6,20,0,12,active,2022-12-13 01:15:17.723177
233,528,528,4,False,1670894631,1,1,1,5,17,0,16,active,2022-12-13 01:15:17.723177
234,529,529,2,False,1670894167,1,1,1,23,35,0,2,active,2022-12-13 01:15:17.723177
235,530,530,3,False,1670894254,1,1,1,3,9,0,12,active,2022-12-13 01:15:17.723177
236,531,531,0,False,1670894503,1,1,1,3,58,0,7,active,2022-12-13 01:15:17.723177
237,532,532,4,False,1670894221,1,1,1,6,35,0,1,active,2022-12-13 01:15:17.723177
238,536,536,2,False,1670893357,1,1,1,2,2,0,23,active,2022-12-13 01:15:17.723177
239,537,537,0,False,1670894485,1,1,1,1,44,0,31,active,2022-12-13 01:15:17.723177
240,539,539,4,False,1670894209,1,1,1,5,27,0,0,active,2022-12-13 01:15:17.723177
241,540,540,2,False,1670894463,1,1,1,2,14,0,38,active,2022-12-13 01:15:17.723177
242,545,545,2,False,1670894187,1,1,1,1,7,0,18,active,2022-12-13 01:15:17.723177
243,546,546,4,False,1670894495,1,1,1,2,18,0,22,active,2022-12-13 01:15:17.723177
244,2002,2002,3,False,1670894396,1,1,1,0,47,0,7,active,2022-12-13 01:15:17.723177
245,2003,2003,1,False,1670894502,1,1,1,13,26,0,26,active,2022-12-13 01:15:17.723177
246,2006,2006,1,False,1670893577,1,1,1,1,35,0,35,active,2022-12-13 01:15:17.723177
247,2008,2008,0,False,1670893946,1,1,1,0,31,0,4,active,2022-12-13 01:15:17.723177
248,2009,2009,5,False,1670893328,1,1,1,2,29,0,1,active,2022-12-13 01:15:17.723177
249,2010,2010,0,False,1670891019,1,1,1,4,36,0,6,active,2022-12-13 01:15:17.723177
250,2012,2012,2,False,1670894443,1,1,1,2,2,0,54,active,2022-12-13 01:15:17.723177
251,2017,2017,1,False,1670893731,1,1,1,1,9,0,41,active,2022-12-13 01:15:17.723177
252,2021,2021,0,False,1670894131,1,1,1,14,32,0,31,active,2022-12-13 01:15:17.723177
253,2022,2022,1,False,1670893525,1,1,1,3,6,0,26,active,2022-12-13 01:15:17.723177
254,3016,3016,1,False,1670893556,1,1,1,4,51,1,1,active,2022-12-13 01:15:17.723177
255,3041,3041,3,False,1670894592,1,1,1,5,7,0,11,active,2022-12-13 01:15:17.723177
256,3042,3042,2,False,1670893510,1,1,1,1,5,0,12,active,2022-12-13 01:15:17.723177
257,3043,3043,1,False,1670890591,1,1,1,1,4,0,13,active,2022-12-13 01:15:17.723177
258,3044,3044,0,False,1670887930,1,1,1,0,5,0,22,active,2022-12-13 01:15:17.723177
259,3046,3046,0,False,1670890038,1,1,1,3,7,0,12,active,2022-12-13 01:15:17.723177
260,3047,3047,1,False,1670892802,1,1,1,4,5,0,14,active,2022-12-13 01:15:17.723177
261,3048,3048,0,False,86400,0,0,0,0,0,0,0,out_of_service,2022-12-13 01:15:17.723177
262,3049,3049,1,False,1670893948,1,1,1,1,4,0,13,active,2022-12-13 01:15:17.723177
263,3050,3050,1,False,1670892312,1,1,1,2,2,0,18,active,2022-12-13 01:15:17.723177
264,3052,3052,0,False,1670894227,1,1,1,2,3,0,20,active,2022-12-13 01:15:17.723177
265,3053,3053,2,False,1670891642,1,1,1,1,2,0,19,active,2022-12-13 01:15:17.723177
266,3054,3054,0,False,1670889122,1,1,1,0,1,0,18,active,2022-12-13 01:15:17.723177
267,3055,3055,0,False,1670894560,1,1,1,4,5,0,17,active,2022-12-13 01:15:17.723177
268,3056,3056,3,False,1670887133,1,1,1,0,0,0,19,active,2022-12-13 01:15:17.723177
269,3057,3057,0,False,1670894318,1,1,1,1,2,0,16,active,2022-12-13 01:15:17.723177
270,3058,3058,3,False,1670894134,1,1,1,1,4,3,14,active,2022-12-13 01:15:17.723177
271,3059,3059,0,False,1670893049,1,1,1,3,4,0,15,active,2022-12-13 01:15:17.723177
272,3060,3060,0,False,1670893291,1,1,1,0,0,0,19,active,2022-12-13 01:15:17.723177
273,3061,3061,0,False,1670890237,1,1,1,1,5,0,16,active,2022-12-13 01:15:17.723177
274,3062,3062,1,False,1670894029,1,1,1,0,0,0,22,active,2022-12-13 01:15:17.723177
275,3063,3063,1,False,1670890739,1,1,1,1,13,0,5,active,2022-12-13 01:15:17.723177
276,3064,3064,2,False,1670894004,1,1,1,2,3,0,18,active,2022-12-13 01:15:17.723177
277,3065,3065,0,False,1670893578,1,1,1,1,24,0,7,active,2022-12-13 01:15:17.723177
278,3066,3066,0,False,86400,0,0,0,0,0,0,0,out_of_service,2022-12-13 01:15:17.723177
279,3067,3067,1,False,1670893167,1,1,1,0,13,0,13,active,2022-12-13 01:15:17.723177
280,3068,3068,1,False,1670891759,1,1,1,0,13,0,28,active,2022-12-13 01:15:17.723177
281,3069,3069,1,False,1670887657,1,1,1,0,14,0,14,active,2022-12-13 01:15:17.723177
282,3070,3070,1,False,1670892874,1,1,1,2,9,1,12,active,2022-12-13 01:15:17.723177
283,3071,3071,1,False,1670893022,1,1,1,2,7,0,11,active,2022-12-13 01:15:17.723177
284,3072,3072,0,False,1670894392,1,1,1,3,15,0,9,active,2022-12-13 01:15:17.723177
