,num_docks_available,is_renting,num_bikes_disabled,legacy_id,is_installed,num_ebikes_available,eightd_has_available_keys,num_bikes_available,num_docks_disabled,station_id,last_reported,is_returning,station_status,last_update
238,13,1,2,536,1,2,False,12,0,536,1671411635,1,active,2022-12-19 01:00:00.541507
239,51,1,1,537,1,0,False,24,0,537,1671412206,1,active,2022-12-19 01:00:00.541507
240,7,1,5,539,1,3,False,17,0,539,1671412328,1,active,2022-12-19 01:00:00.541507
241,44,1,0,540,1,3,False,9,0,540,1671412170,1,active,2022-12-19 01:00:00.541507
242,15,1,1,545,1,1,False,9,0,545,1671412148,1,active,2022-12-19 01:00:00.541507
243,0,0,0,546,1,0,False,0,0,546,86400,0,active,2022-12-19 01:00:00.541507
244,2,1,6,2002,1,4,False,49,0,2002,1671412124,1,active,2022-12-19 01:00:00.541507
245,34,1,2,2003,1,1,False,16,0,2003,1671412415,1,active,2022-12-19 01:00:00.541507
246,16,1,1,2006,1,24,False,55,0,2006,1671411495,1,active,2022-12-19 01:00:00.541507
247,16,1,0,2008,1,2,False,16,0,2008,1671409856,1,active,2022-12-19 01:00:00.541507
248,7,1,3,2009,1,1,False,25,0,2009,1671411354,1,active,2022-12-19 01:00:00.541507
249,7,1,3,2010,1,7,False,33,0,2010,1671411487,1,active,2022-12-19 01:00:00.541507
250,40,1,1,2012,1,5,False,16,0,2012,1671412246,1,active,2022-12-19 01:00:00.541507
251,46,1,0,2017,1,3,False,6,0,2017,1671411757,1,active,2022-12-19 01:00:00.541507
252,19,1,0,2021,1,7,False,43,0,2021,1671412178,1,active,2022-12-19 01:00:00.541507
253,19,1,0,2022,1,2,False,13,0,2022,1671412390,1,active,2022-12-19 01:00:00.541507
254,2,1,2,3016,1,2,False,49,1,3016,1671412032,1,active,2022-12-19 01:00:00.541507
255,21,1,0,3041,1,1,False,3,0,3041,1671411218,1,active,2022-12-19 01:00:00.541507
256,4,1,1,3042,1,5,False,14,0,3042,1671412248,1,active,2022-12-19 01:00:00.541507
257,16,1,2,3043,1,1,False,1,0,3043,1671404486,1,active,2022-12-19 01:00:00.541507
258,21,1,0,3044,1,1,False,5,0,3044,1671405637,1,active,2022-12-19 01:00:00.541507
259,14,1,0,3046,1,4,False,5,0,3046,1671411033,1,active,2022-12-19 01:00:00.541507
260,10,1,1,3047,1,4,False,9,0,3047,1671411764,1,active,2022-12-19 01:00:00.541507
261,0,0,0,3048,0,0,False,0,0,3048,86400,0,out_of_service,2022-12-19 01:00:00.541507
262,14,1,2,3049,1,2,False,2,0,3049,1671411811,1,active,2022-12-19 01:00:00.541507
263,19,1,0,3050,1,2,False,2,0,3050,1671410442,1,active,2022-12-19 01:00:00.541507
264,21,1,0,3052,1,1,False,2,0,3052,1671412199,1,active,2022-12-19 01:00:00.541507
265,20,1,2,3053,1,1,False,1,0,3053,1671411226,1,active,2022-12-19 01:00:00.541507
266,17,1,0,3054,1,1,False,1,0,3054,1671411568,1,active,2022-12-19 01:00:00.541507
267,19,1,1,3055,1,1,False,2,0,3055,1671412242,1,active,2022-12-19 01:00:00.541507
268,18,1,1,3056,1,2,False,4,0,3056,1671410797,1,active,2022-12-19 01:00:00.541507
269,17,1,0,3057,1,0,False,0,0,3057,1671410903,1,active,2022-12-19 01:00:00.541507
270,2,1,0,3058,1,13,False,19,0,3058,1671412269,1,active,2022-12-19 01:00:00.541507
271,18,1,1,3059,1,0,False,0,0,3059,1671409204,1,active,2022-12-19 01:00:00.541507
272,5,1,0,3060,1,10,False,13,0,3060,1671412150,1,active,2022-12-19 01:00:00.541507
273,13,1,0,3061,1,4,False,7,0,3061,1671411319,1,active,2022-12-19 01:00:00.541507
274,16,1,1,3062,1,4,False,5,0,3062,1671412259,1,active,2022-12-19 01:00:00.541507
275,18,1,0,3063,1,0,False,2,0,3063,1671411707,1,active,2022-12-19 01:00:00.541507
276,19,1,2,3064,1,2,False,2,0,3064,1671412122,1,active,2022-12-19 01:00:00.541507
277,15,1,0,3065,1,2,False,16,0,3065,1671408766,1,active,2022-12-19 01:00:00.541507
278,0,0,0,3066,0,0,False,0,0,3066,86400,0,out_of_service,2022-12-19 01:00:00.541507
279,14,1,4,3067,1,1,False,9,0,3067,1671411988,1,active,2022-12-19 01:00:00.541507
280,32,1,0,3068,1,1,False,10,0,3068,1671411945,1,active,2022-12-19 01:00:00.541507
281,8,1,2,3069,1,0,False,19,0,3069,1671409628,1,active,2022-12-19 01:00:00.541507
282,16,1,1,3070,1,1,False,5,0,3070,1671411843,1,active,2022-12-19 01:00:00.541507
283,18,1,0,3071,1,0,False,1,0,3071,1671412133,1,active,2022-12-19 01:00:00.541507
284,19,1,0,3072,1,0,False,5,0,3072,1671411906,1,active,2022-12-19 01:00:00.541507
