,eightd_has_available_keys,last_reported,num_docks_available,num_ebikes_available,is_installed,num_bikes_disabled,station_status,legacy_id,is_returning,num_docks_disabled,is_renting,num_bikes_available,station_id,last_update
197,False,1672017364,55,2,1,1,active,476,1,0,1,8,476,2022-12-26 01:15:06.645988
198,False,1672015396,15,25,1,3,active,477,1,4,1,42,477,2022-12-26 01:15:06.645988
199,False,1672017333,31,2,1,3,active,478,1,0,1,20,478,2022-12-26 01:15:06.645988
200,False,1672015444,14,0,1,4,active,479,1,0,1,13,479,2022-12-26 01:15:06.645988
201,False,1672012451,17,0,1,1,active,480,1,0,1,10,480,2022-12-26 01:15:06.645988
202,False,1672016216,13,2,1,2,active,481,1,0,1,7,481,2022-12-26 01:15:06.645988
203,False,1672016925,1,1,1,3,active,482,0,0,0,74,482,2022-12-26 01:15:06.645988
204,False,1672013137,7,4,1,0,active,483,1,0,1,61,483,2022-12-26 01:15:06.645988
205,False,1672015207,26,11,1,1,active,484,1,0,1,39,484,2022-12-26 01:15:06.645988
206,False,1672017381,26,7,1,0,active,485,1,0,1,13,485,2022-12-26 01:15:06.645988
207,False,1672015743,8,23,1,3,active,486,1,0,1,29,486,2022-12-26 01:15:06.645988
208,False,1672017320,28,3,1,2,active,489,1,0,1,36,489,2022-12-26 01:15:06.645988
209,False,1672016536,5,42,1,1,active,490,1,0,1,81,490,2022-12-26 01:15:06.645988
210,False,1672017066,17,0,1,4,active,494,1,0,1,45,494,2022-12-26 01:15:06.645988
211,False,1672016506,15,6,1,2,active,495,1,0,1,18,495,2022-12-26 01:15:06.645988
212,False,1672017112,2,9,1,5,active,496,1,0,1,56,496,2022-12-26 01:15:06.645988
213,False,1672012525,1,5,1,5,active,497,1,0,1,59,497,2022-12-26 01:15:06.645988
214,False,1672012875,58,8,1,1,active,500,1,0,1,18,500,2022-12-26 01:15:06.645988
215,False,1672011173,56,0,1,2,active,501,1,0,1,25,501,2022-12-26 01:15:06.645988
216,False,1672016366,27,1,1,1,active,502,1,0,1,7,502,2022-12-26 01:15:06.645988
217,False,1672015196,10,6,1,0,active,503,1,0,1,35,503,2022-12-26 01:15:06.645988
218,False,1672015486,35,0,1,1,active,504,1,0,1,18,504,2022-12-26 01:15:06.645988
219,False,1672016945,4,5,1,3,active,505,1,0,1,45,505,2022-12-26 01:15:06.645988
220,False,1672014599,66,1,1,1,active,507,1,0,1,11,507,2022-12-26 01:15:06.645988
221,False,1672014595,14,0,1,4,active,508,1,0,1,6,508,2022-12-26 01:15:06.645988
222,False,1672017135,11,3,1,4,active,509,1,0,1,46,509,2022-12-26 01:15:06.645988
223,False,1672017403,28,15,1,1,active,510,1,0,1,49,510,2022-12-26 01:15:06.645988
224,False,1672015817,25,2,1,1,active,511,1,0,1,15,511,2022-12-26 01:15:06.645988
225,False,1672013637,5,5,1,1,active,512,1,0,1,22,512,2022-12-26 01:15:06.645988
226,False,1672016248,22,15,1,2,active,513,1,0,1,15,513,2022-12-26 01:15:06.645988
227,False,1672016348,12,22,1,4,active,514,1,0,1,31,514,2022-12-26 01:15:06.645988
228,False,1672017270,60,5,1,2,active,515,1,0,1,14,515,2022-12-26 01:15:06.645988
229,False,1672010493,33,2,1,0,active,516,1,0,1,15,516,2022-12-26 01:15:06.645988
230,False,1672014784,58,8,1,1,active,522,1,0,1,15,522,2022-12-26 01:15:06.645988
231,False,1672011403,2,14,1,2,active,525,1,0,1,56,525,2022-12-26 01:15:06.645988
232,False,1672015810,18,6,1,3,active,526,1,0,1,18,526,2022-12-26 01:15:06.645988
233,False,1672016796,27,4,1,2,active,528,1,0,1,9,528,2022-12-26 01:15:06.645988
234,False,1672016385,17,7,1,5,active,529,1,0,1,17,529,2022-12-26 01:15:06.645988
235,False,1672015374,18,0,1,3,active,530,1,0,1,3,530,2022-12-26 01:15:06.645988
236,False,1672017053,8,11,1,1,active,531,1,0,1,54,531,2022-12-26 01:15:06.645988
237,False,1672010341,15,1,1,4,active,532,1,0,1,23,532,2022-12-26 01:15:06.645988
238,False,1672016274,22,3,1,2,active,536,1,0,1,3,536,2022-12-26 01:15:06.645988
239,False,1672015940,41,0,1,3,active,537,1,0,1,34,537,2022-12-26 01:15:06.645988
240,False,1672017297,6,2,1,3,active,539,1,0,1,22,539,2022-12-26 01:15:06.645988
241,False,1672017397,44,0,1,0,active,540,1,0,1,9,540,2022-12-26 01:15:06.645988
242,False,1672015996,14,3,1,0,active,545,1,0,1,11,545,2022-12-26 01:15:06.645988
243,False,1672013839,34,0,1,3,active,546,1,0,1,7,546,2022-12-26 01:15:06.645988
244,False,1672016622,5,1,1,4,active,2002,1,0,1,47,2002,2022-12-26 01:15:06.645988
245,False,1672013445,32,1,1,3,active,2003,1,0,1,15,2003,2022-12-26 01:15:06.645988
246,False,1672015888,14,23,1,0,active,2006,1,0,1,57,2006,2022-12-26 01:15:06.645988
