,is_renting,num_bikes_disabled,legacy_id,num_bikes_available,is_installed,num_docks_disabled,station_status,station_id,num_ebikes_available,last_reported,eightd_has_available_keys,is_returning,num_docks_available,last_update,num_scooters_available,num_scooters_unavailable
231,1,2,4225,8,1,0,active,cbf76774-1276-4cf8-9442-f00571f1451c,2,1690680129,False,1,23,2023-07-30 01:15:08.977683,0.0,0.0
232,1,2,3712,4,1,0,active,a47f77a2-9008-4652-a4f1-b95eee723a1b,1,1690680129,False,1,34,2023-07-30 01:15:08.977683,0.0,0.0
233,1,3,3478,39,1,0,active,dd482585-3028-453f-a98d-55019db9b26c,2,1690680129,False,1,1,2023-07-30 01:15:08.977683,0.0,0.0
234,0,0,4168,0,0,0,out_of_service,1d3a8670-09b3-4127-b750-af5311e565f0,0,1689775581,False,0,0,2023-07-30 01:15:08.977683,,
235,1,0,4862,17,1,0,active,528ed1e0-75aa-45be-8afe-c3f1c950782f,0,1690680125,False,1,3,2023-07-30 01:15:08.977683,0.0,0.0
236,1,0,397,6,1,0,active,66dbee85-0aca-11e7-82f6-3863bb44ef7c,3,1690680125,False,1,69,2023-07-30 01:15:08.977683,0.0,0.0
237,1,5,4461,1,1,0,active,53ef19c6-eaa7-47f7-807e-f51b574b1be0,1,1690680125,False,1,13,2023-07-30 01:15:08.977683,0.0,0.0
238,1,4,4440,3,1,0,active,24509e46-a0de-47e8-ba40-9441da68952a,3,1690680125,False,1,11,2023-07-30 01:15:08.977683,0.0,0.0
239,1,1,5005,7,1,1,active,cf1a96a7-f695-4ba2-bcf2-899552e21e47,1,1690680126,False,1,11,2023-07-30 01:15:08.977683,0.0,0.0
240,1,0,3901,8,1,0,active,837b7db3-55c6-4595-a497-834972631752,7,1690680126,False,1,9,2023-07-30 01:15:08.977683,0.0,0.0
241,1,7,1786698974100683436,13,1,0,active,1786698974100683436,3,1690680126,False,1,32,2023-07-30 01:15:08.977683,0.0,0.0
242,1,2,4333,33,1,0,active,d8778570-f7f2-458d-82f5-9ad39210a501,2,1690680126,False,1,15,2023-07-30 01:15:08.977683,0.0,0.0
243,1,0,5035,9,1,0,active,4e9a1c3a-20e2-4fd5-b8de-fbf8d43e7bcc,1,1690680126,False,1,15,2023-07-30 01:15:08.977683,0.0,0.0
244,0,0,4748,0,1,0,active,c00ef46d-fcde-48e2-afbd-0fb595fe3fa7,0,1689772144,False,0,3,2023-07-30 01:15:08.977683,,
245,1,2,4131,16,1,0,active,cc5f0e68-dd5f-4db1-81c7-04a4d6674fba,0,1690680135,False,1,1,2023-07-30 01:15:08.977683,0.0,0.0
246,0,0,5050,0,0,0,out_of_service,2c3ae1e9-00f4-480c-b095-4a3112db3594,0,1689172145,False,0,0,2023-07-30 01:15:08.977683,,
247,1,4,388,6,1,0,active,66dbe96d-0aca-11e7-82f6-3863bb44ef7c,0,1690680135,False,1,41,2023-07-30 01:15:08.977683,0.0,0.0
248,1,1,3043,18,1,0,active,66dcbac5-0aca-11e7-82f6-3863bb44ef7c,1,1690680135,False,1,0,2023-07-30 01:15:08.977683,0.0,0.0
249,1,3,4367,15,1,0,active,7aa86431-bbc5-4d9c-8198-9630c9d32a22,6,1690680135,False,1,2,2023-07-30 01:15:08.977683,0.0,0.0
250,1,0,260,43,1,0,active,66db447a-0aca-11e7-82f6-3863bb44ef7c,0,1690680135,False,1,6,2023-07-30 01:15:08.977683,0.0,0.0
251,1,3,3364,22,1,0,active,66de1fe7-0aca-11e7-82f6-3863bb44ef7c,1,1690680135,False,1,2,2023-07-30 01:15:08.977683,0.0,0.0
252,1,0,1831178352265562334,22,1,0,active,1831178352265562334,0,1690680135,False,1,5,2023-07-30 01:15:08.977683,0.0,0.0
253,1,5,127,21,1,0,active,66db2a71-0aca-11e7-82f6-3863bb44ef7c,2,1690680133,False,1,18,2023-07-30 01:15:08.977683,0.0,0.0
254,1,3,4061,12,1,0,active,6b60bf55-3da4-439a-bde1-fc80be8623ba,2,1690680133,False,1,8,2023-07-30 01:15:08.977683,0.0,0.0
255,1,4,3368,14,1,0,active,66de2199-0aca-11e7-82f6-3863bb44ef7c,1,1690680134,False,1,11,2023-07-30 01:15:08.977683,0.0,0.0
256,1,2,1809664497883596992,16,1,0,active,1809664497883596992,3,1690680137,False,1,12,2023-07-30 01:15:08.977683,0.0,0.0
257,1,4,350,18,1,0,active,66dbc420-0aca-11e7-82f6-3863bb44ef7c,10,1690680137,False,1,47,2023-07-30 01:15:08.977683,0.0,0.0
258,1,0,3078,2,1,0,active,66dced76-0aca-11e7-82f6-3863bb44ef7c,2,1690680137,False,1,24,2023-07-30 01:15:08.977683,0.0,0.0
259,0,0,5076,0,0,0,out_of_service,6ab6fcb6-f8b1-466f-b545-69f544861158,0,1689176220,False,0,0,2023-07-30 01:15:08.977683,,
260,1,3,3926,14,1,0,active,dad39e68-53f5-47c2-87e2-b1cc0e34f90f,0,1690680136,False,1,3,2023-07-30 01:15:08.977683,0.0,0.0
261,1,1,1828965172312150882,13,1,0,active,1828965172312150882,1,1690680136,False,1,8,2023-07-30 01:15:08.977683,0.0,0.0
262,1,0,3115,15,1,32,active,66dd2060-0aca-11e7-82f6-3863bb44ef7c,4,1690680136,False,1,0,2023-07-30 01:15:08.977683,0.0,0.0
263,1,0,4774,10,1,0,active,41495491-5d89-4e14-aab9-c3db04aad399,1,1690680136,False,1,9,2023-07-30 01:15:08.977683,0.0,0.0
264,1,4,3159,9,1,0,active,66dd4a52-0aca-11e7-82f6-3863bb44ef7c,4,1690680138,False,1,18,2023-07-30 01:15:08.977683,0.0,0.0
265,1,4,3092,5,1,0,active,66dd01c5-0aca-11e7-82f6-3863bb44ef7c,2,1690680138,False,1,18,2023-07-30 01:15:08.977683,0.0,0.0
266,1,1,5033,12,1,0,active,922763d6-d73c-4678-8bcd-f42ee3a236db,2,1690680138,False,1,7,2023-07-30 01:15:08.977683,0.0,0.0
267,1,0,3542,13,1,0,active,1b00fb53-da32-4b14-9a9a-84a391c8951c,3,1690680138,False,1,15,2023-07-30 01:15:08.977683,0.0,0.0
268,1,1,511,15,1,0,active,66dc7ba2-0aca-11e7-82f6-3863bb44ef7c,5,1690680141,False,1,27,2023-07-30 01:15:08.977683,0.0,0.0
269,1,2,3505,8,1,0,active,5f63411c-91ce-4788-a567-d388cc812a15,0,1690680141,False,1,17,2023-07-30 01:15:08.977683,0.0,0.0
