,last_reported,num_ebikes_available,legacy_id,num_docks_available,eightd_has_available_keys,num_bikes_available,is_installed,station_id,num_docks_disabled,is_returning,is_renting,station_status,num_bikes_disabled,last_update,eightd_active_station_services,valet
595,1671584141,0,3516,30,False,0,1,3516,0,1,1,active,1,2022-12-21 01:00:54.934804,,
596,1671579453,1,3517,20,False,13,1,3517,0,1,1,active,1,2022-12-21 01:00:54.934804,,
597,1671584097,1,3518,24,False,10,1,3518,0,1,1,active,0,2022-12-21 01:00:54.934804,,
598,1671582978,0,3520,19,False,8,1,3520,0,1,1,active,0,2022-12-21 01:00:54.934804,,
599,1671584343,2,3521,28,False,6,1,3521,0,1,1,active,2,2022-12-21 01:00:54.934804,,
600,1671582596,0,3522,18,False,1,1,3522,0,1,1,active,0,2022-12-21 01:00:54.934804,,
601,1671585178,0,3523,39,False,5,1,3523,0,1,1,active,1,2022-12-21 01:00:54.934804,,
602,1671580551,2,3524,17,False,6,1,3524,0,1,1,active,0,2022-12-21 01:00:54.934804,,
603,1671576903,1,3525,18,False,2,1,3525,0,1,1,active,1,2022-12-21 01:00:54.934804,,
604,1671585170,3,3526,22,False,4,1,3526,0,1,1,active,0,2022-12-21 01:00:54.934804,,
605,1671582582,0,3528,19,False,0,1,3528,0,1,1,active,2,2022-12-21 01:00:54.934804,,
606,1671584015,1,3529,20,False,5,1,3529,0,1,1,active,0,2022-12-21 01:00:54.934804,,
607,1671583743,2,3530,16,False,2,1,3530,0,1,1,active,1,2022-12-21 01:00:54.934804,,
608,1671585178,1,3531,24,False,3,1,3531,0,1,1,active,0,2022-12-21 01:00:54.934804,,
609,1671585015,2,3532,23,False,4,1,3532,0,1,1,active,0,2022-12-21 01:00:54.934804,,
610,1671583708,2,3533,25,False,6,1,3533,0,1,1,active,1,2022-12-21 01:00:54.934804,,
611,1671584916,7,3534,28,False,8,1,3534,0,1,1,active,3,2022-12-21 01:00:54.934804,,
612,1671583569,6,3535,10,False,16,1,3535,0,1,1,active,1,2022-12-21 01:00:54.934804,,
613,1671584849,0,3536,41,False,0,1,3536,0,1,1,active,1,2022-12-21 01:00:54.934804,,
614,1671582553,0,3537,26,False,1,1,3537,0,1,1,active,2,2022-12-21 01:00:54.934804,,
615,1671583784,2,3538,40,False,3,1,3538,0,1,1,active,1,2022-12-21 01:00:54.934804,,
616,1671585098,0,3539,31,False,0,1,3539,11,1,1,active,1,2022-12-21 01:00:54.934804,,
617,1671584079,1,3540,31,False,3,1,3540,0,1,1,active,0,2022-12-21 01:00:54.934804,,
618,1671583682,0,3541,18,False,21,1,3541,0,1,1,active,0,2022-12-21 01:00:54.934804,,
619,1671585027,1,3542,27,False,1,1,3542,0,1,1,active,1,2022-12-21 01:00:54.934804,,
620,1671584919,0,3543,29,False,4,1,3543,0,1,1,active,1,2022-12-21 01:00:54.934804,,
621,1671584244,0,3544,25,False,1,1,3544,0,1,1,active,0,2022-12-21 01:00:54.934804,,
622,86400,0,3545,0,False,0,0,3545,0,0,0,out_of_service,0,2022-12-21 01:00:54.934804,,
623,1671584364,3,3546,17,False,3,1,3546,0,1,1,active,0,2022-12-21 01:00:54.934804,,
624,1671583022,0,3547,40,False,0,1,3547,0,1,1,active,0,2022-12-21 01:00:54.934804,,
